case_id,root_cause,confidence,osi_layer,evidence,next_command,fix_steps,verification_command,uncertainty
VLAN-001,[DEMO FALLBACK] PC2 is assigned to VLAN 1 instead of VLAN 10.,0.85,Layer 2,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
VLAN-002,[DEMO FALLBACK] Uplink port to router is configured as access mode instead of trunk.,0.85,Layer 2,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
VLAN-003,[DEMO FALLBACK] VLAN 20 is missing from the VLAN database on the switch.,0.85,Layer 2,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
VLAN-004,[DEMO FALLBACK] Native VLAN mismatch on the trunk link.,0.85,Layer 2,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
GW-001,[DEMO FALLBACK] Incorrect default gateway configured on PC1.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
GW-002,[DEMO FALLBACK] Router sub-interface for VLAN 30 is missing an IP address.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
GW-003,[DEMO FALLBACK] Missing default route to the ISP on the router.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
GW-004,[DEMO FALLBACK] Default Gateway missing on the host.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DHCP-001,[DEMO FALLBACK] DHCP pool exhausted.,0.85,Layer 7,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DHCP-002,[DEMO FALLBACK] Missing ip helper-address command on the router interface.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DHCP-003,[DEMO FALLBACK] DHCP server is attempting to assign the gateway IP because excluded addresses are not configured.,0.85,Layer 7,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DHCP-004,[DEMO FALLBACK] DHCP pool configured with incorrect subnet mask (/25 instead of /24).,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DNS-001,[DEMO FALLBACK] DNS server address is missing in PC IP configuration.,0.85,Layer 7,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DNS-002,[DEMO FALLBACK] ip domain-lookup is disabled globally on the router.,0.85,Layer 7,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
DNS-003,[DEMO FALLBACK] DNS server option missing from DHCP pool configuration.,0.85,Layer 7,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ROUT-001,[DEMO FALLBACK] MTU mismatch on interfaces participating in OSPF.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ROUT-002,[DEMO FALLBACK] Missing OSPF network command for the link connecting to R2.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ROUT-003,[DEMO FALLBACK] EIGRP K-values mismatch between routers.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ROUT-004,[DEMO FALLBACK] Static route is configured with the wrong next-hop IP.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ROUT-005,[DEMO FALLBACK] Passive-interface is configured on the link connecting to the neighbor.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ACL-001,[DEMO FALLBACK] ACL is explicitly denying HTTP traffic to the web server.,0.85,Layer 4,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ACL-002,[DEMO FALLBACK] Access-class ACL does not permit the management PC IP.,0.85,Layer 4,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ACL-003,[DEMO FALLBACK] Implicit deny at the end of the ACL blocks all other traffic.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
ACL-004,[DEMO FALLBACK] ACL is applied in the wrong direction (out instead of in).,0.85,Layer 4,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
NAT-001,[DEMO FALLBACK] The 'ip nat inside' command is missing on the Gi0/0 interface.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
NAT-002,[DEMO FALLBACK] The 'overload' keyword is missing in the NAT statement.,0.85,Layer 4,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
NAT-003,[DEMO FALLBACK] Static NAT is mapped to the wrong inside local IP (.10 instead of .100).,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
NAT-004,[DEMO FALLBACK] NAT pool is exhausted and PAT (overload) is not configured.,0.85,Layer 3,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
WIFI-001,"[DEMO FALLBACK] SSID mismatch (configured as CorpNet_5G, laptop searching for CorpNet).",0.85,Layer 2,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
WIFI-002,[DEMO FALLBACK] Incorrect WPA2 Pre-Shared Key entered on the client.,0.85,Layer 2,"[""(Fallback evidence generated from expected fault)""]",show running-config,"[""(Demo fix step 1)"", ""(Demo fix step 2)""]",show ip interface brief,This is a deterministic fallback result because the API quota was exceeded.
