case_id,symptom,topology_note,show_command_outputs,expected_fault,osi_layer,concept_tag,severity
VLAN-001,"PC1 cannot ping PC2. They are on the same switch and subnet (192.168.10.0/24).","PC1 on Fa0/1, PC2 on Fa0/2. Both should be in VLAN 10.","Switch#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/2, Fa0/3
10   Sales                            active    Fa0/1","PC2 is assigned to VLAN 1 instead of VLAN 10.","Layer 2","VLAN","Medium"
VLAN-002,"PCs in VLAN 20 cannot reach the router.","Switch is connected to Router via Gi0/1. Router provides inter-VLAN routing (router-on-a-stick) for VLANs 10 and 20.","Switch#show interfaces Gi0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)","Uplink port to router is configured as access mode instead of trunk.","Layer 2","VLAN","High"
VLAN-003,"Inter-VLAN routing is failing between VLAN 10 and VLAN 20.","Router-on-a-stick topology. Router Gi0/0 is connected to Switch Gi0/1.","Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up
Switch#show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    
10   Sales                            active    Fa0/1","VLAN 20 is missing from the VLAN database on the switch.","Layer 2","VLAN","Medium"
VLAN-004,"CDP errors reported on switch console.","Switch1 Gi0/1 connected to Switch2 Gi0/1 via trunk.","Switch1#show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      99
Switch2#show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      1","Native VLAN mismatch on the trunk link.","Layer 2","VLAN","Low"
GW-001,"PC1 can ping other PCs in the same subnet but cannot ping 8.8.8.8.","PC1 is at 10.0.0.10/24, Router gateway is 10.0.0.1.","C:\>ipconfig
   IPv4 Address. . . . . . . . . . . : 10.0.0.10
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 10.0.0.2","Incorrect default gateway configured on PC1.","Layer 3","Gateway","Medium"
GW-002,"No hosts in VLAN 30 can access the Internet.","Router provides inter-VLAN routing.","Router#show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up
GigabitEthernet0/0.30  unassigned      YES unset  up                    up","Router sub-interface for VLAN 30 is missing an IP address.","Layer 3","Gateway","High"
GW-003,"Router cannot ping internet addresses, but LAN works.","Router connected to ISP.","Router#show ip route
C    192.168.1.0/24 is directly connected, GigabitEthernet0/1
C    10.0.0.0/30 is directly connected, GigabitEthernet0/0","Missing default route to the ISP on the router.","Layer 3","Gateway","High"
GW-004,"Host can ping gateway IP but cannot reach remote networks.","Host subnet is 172.16.1.0/24. Router LAN is 172.16.1.254.","C:\>ipconfig
   IPv4 Address. . . . . . . . . . . : 172.16.1.50
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 0.0.0.0","Default Gateway missing on the host.","Layer 3","Gateway","Medium"
DHCP-001,"New PCs cannot get an IP address.","Router acts as DHCP server for 192.168.1.0/24. Network has 250 hosts.","Router#show ip dhcp pool
Pool LAN_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0 
 Total addresses                : 254
 Leased addresses               : 254
 Excluded addresses             : 0","DHCP pool exhausted.","Layer 7","DHCP","Medium"
DHCP-002,"PCs in VLAN 10 receive APIPA (169.254.x.x) addresses.","DHCP server is at 10.1.1.10 in VLAN 100. Router does routing.","Router#show run interface Gi0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0","Missing ip helper-address command on the router interface.","Layer 3","DHCP","High"
