case_id,ai_diagnosis,human_decision,whether_ai_was_correct,correction_reason,safety_uncertainty_note
VLAN-001,[DEMO FALLBACK] PC2 is assigned to VLAN 1 instead of VLAN 10.,Edited,Partially,Clarified the fix steps based on best practices.,This is a deterministic fallback result because the API quota was exceeded.
VLAN-002,[DEMO FALLBACK] Uplink port to router is configured as access mode instead of trunk.,Edited,Partially,Clarified the fix steps based on best practices.,This is a deterministic fallback result because the API quota was exceeded.
VLAN-003,[DEMO FALLBACK] VLAN 20 is missing from the VLAN database on the switch.,Edited,Partially,Clarified the fix steps based on best practices.,This is a deterministic fallback result because the API quota was exceeded.
VLAN-004,[DEMO FALLBACK] Native VLAN mismatch on the trunk link.,Rejected,No,AI misidentified the root cause. Real issue was different.,This is a deterministic fallback result because the API quota was exceeded.
GW-001,[DEMO FALLBACK] Incorrect default gateway configured on PC1.,Rejected,No,AI misidentified the root cause. Real issue was different.,This is a deterministic fallback result because the API quota was exceeded.
GW-002,[DEMO FALLBACK] Router sub-interface for VLAN 30 is missing an IP address.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
GW-003,[DEMO FALLBACK] Missing default route to the ISP on the router.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
GW-004,[DEMO FALLBACK] Default Gateway missing on the host.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DHCP-001,[DEMO FALLBACK] DHCP pool exhausted.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DHCP-002,[DEMO FALLBACK] Missing ip helper-address command on the router interface.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DHCP-003,[DEMO FALLBACK] DHCP server is attempting to assign the gateway IP because excluded addresses are not configured.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DHCP-004,[DEMO FALLBACK] DHCP pool configured with incorrect subnet mask (/25 instead of /24).,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DNS-001,[DEMO FALLBACK] DNS server address is missing in PC IP configuration.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DNS-002,[DEMO FALLBACK] ip domain-lookup is disabled globally on the router.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
DNS-003,[DEMO FALLBACK] DNS server option missing from DHCP pool configuration.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ROUT-001,[DEMO FALLBACK] MTU mismatch on interfaces participating in OSPF.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ROUT-002,[DEMO FALLBACK] Missing OSPF network command for the link connecting to R2.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ROUT-003,[DEMO FALLBACK] EIGRP K-values mismatch between routers.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ROUT-004,[DEMO FALLBACK] Static route is configured with the wrong next-hop IP.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ROUT-005,[DEMO FALLBACK] Passive-interface is configured on the link connecting to the neighbor.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ACL-001,[DEMO FALLBACK] ACL is explicitly denying HTTP traffic to the web server.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ACL-002,[DEMO FALLBACK] Access-class ACL does not permit the management PC IP.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ACL-003,[DEMO FALLBACK] Implicit deny at the end of the ACL blocks all other traffic.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
ACL-004,[DEMO FALLBACK] ACL is applied in the wrong direction (out instead of in).,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
NAT-001,[DEMO FALLBACK] The 'ip nat inside' command is missing on the Gi0/0 interface.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
NAT-002,[DEMO FALLBACK] The 'overload' keyword is missing in the NAT statement.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
NAT-003,[DEMO FALLBACK] Static NAT is mapped to the wrong inside local IP (.10 instead of .100).,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
NAT-004,[DEMO FALLBACK] NAT pool is exhausted and PAT (overload) is not configured.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
WIFI-001,"[DEMO FALLBACK] SSID mismatch (configured as CorpNet_5G, laptop searching for CorpNet).",Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
WIFI-002,[DEMO FALLBACK] Incorrect WPA2 Pre-Shared Key entered on the client.,Accepted,Yes,,This is a deterministic fallback result because the API quota was exceeded.
